ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity,Mom2,Mom3,MomH2,MomH3,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Corralation,Intensity_Max,Intensity_Mean,Intesinty_Min,Shannon_Entropy,quartiles_25,quartiles_50,quartiles_75
lat_301_b_7,2,1326,267,18.437867513470433,51.03920062069938,0.9125841768267939,163.6040764008565,0.612749349815942,0.35405150288710885,2.824447832717872,0.3296296296296296,45.716839512411575,18.69310752997467,0.6394441999994676,1.143913605576577,0.08753385252317022,641272.0,13374698.0,0.0016495571502903067,7.009593646039648e-05,1754.974025974026,31.822510822510825,0.047192463785023994,0.004329004329004329,0.0657951694959769,0.7574967544422898,253.0,120.49438202247191,17.0,1.3374443747831672,72.5,103.0,163.5
lat_301_b_8,2,2352,369,21.675455981530703,56.0357029044876,0.7013304092416306,248.01828996322962,0.6721362871632239,0.2745581919981845,3.6422151264989844,0.25153374233128833,44.24560325663955,31.53987417978424,0.8442963618465423,1.1758549773518427,0.1324310473584656,1108508.0,35004828.0,0.0027258737049433482,0.00014050450682423526,1233.22695035461,24.531914893617024,0.058634737965895876,0.003671847492580856,0.06059577124338675,0.8179804698390004,254.0,98.57994579945799,2.0,1.1271450292033762,63.0,82.0,121.0
lat_301_b_9,2,1802,219,16.698486766680407,58.60034129593445,0.9763568247998244,166.01828996322962,0.7580743833937426,0.3159883369711166,3.1646737648149545,0.3178519593613933,64.38316677311639,13.917393714921392,0.46493558745588887,1.143369011034248,0.1384778927475295,663304.0,26014242.0,0.006419846026240409,0.0004424211749298057,2012.6298701298701,32.668831168831176,0.04725965888158376,0.006493506493506494,0.08058229640253803,0.6987807966890147,247.0,84.15068493150685,3.0,0.8350592938299648,42.0,66.0,111.5
lat_301_c_0,2,2322,310,19.867165345562018,55.31726674375732,0.6925332224358475,218.94722215136417,0.7062813617785941,0.28506660227971514,3.5079521487360092,0.20931802835921676,50.52317677964905,36.44671152283925,0.8493444428216822,1.2390708884155195,0.13713720703288212,1015012.0,30945148.0,0.0008075203022354422,1.9876474187489646e-05,3068.352112676056,41.34741784037559,0.03932136499333351,0.004738918644889683,0.06883980421885062,0.6442119570862711,251.0,120.91290322580645,8.0,1.1709790938137206,78.0,106.0,151.25
lat_301_c_1,2,1240,262,18.19456736586892,45.27692569068709,0.6371965210647891,168.675144212722,0.6487505546643153,0.33887576879597664,2.9509339176211786,0.26776519052523173,40.16671264767525,30.956540252880295,0.8778959874011989,1.454152395870352,0.31088801447208564,1133522.0,34567206.0,0.0010771921849067137,3.7069825332114026e-05,3678.0954773869344,47.281407035175874,0.024169946815252946,0.005025125628140704,0.0708881205008336,0.4768181767643255,250.0,152.51538461538462,1.0,1.117736350292186,106.0,155.5,197.0
lat_301_c_10,2,676,169,14.668929172241665,30.805843601498726,0.6784454195023593,102.46194077712559,0.6062836732374295,0.4497650520185299,2.2233830652515905,0.3595744680851064,30.854304496731764,22.667139793085394,0.8571177340852592,1.4002443107408502,0.3244773738178827,420762.0,7592366.0,0.0004942250754876772,1.087736789119925e-05,3561.426356589148,46.55813953488372,0.0370444700554124,0.007872123069527072,0.08872498559891161,0.5389479105499256,255.0,150.9467455621302,3.0,1.202020385966494,99.0,147.0,201.0
lat_301_c_11,2,3551,268,18.437867513470433,81.8413098624405,0.9759408630519366,201.36143571373725,0.7541626805757949,0.28766317106781003,3.4762878970150575,0.1905781584582441,91.99117514921245,20.057331862653367,0.46694259949404204,1.1897395937428232,0.26132506936403377,1224133.0,54895273.0,0.012063428326987244,0.0017881406184286253,1929.705583756345,34.690355329949234,0.03614747156452952,0.005282279883532171,0.07267929473744342,0.6599292627491095,243.0,112.07865168539325,2.0,0.5652047174347986,77.5,100.0,140.0
lat_301_c_12,2,1400,200,15.957691216057308,50.15974481593781,0.8726985808089294,137.60407640085654,0.6880203820042827,0.3643247119117174,2.7448042015945338,0.2518891687657431,52.89640146890937,25.827162283920458,0.6987555681724411,1.2693025001706333,0.38856870305701513,910110.0,27438212.0,0.003187972630571338,0.00017589707901181489,2074.697872340426,34.48510638297873,0.03971263073737656,0.004291534631054776,0.06550980560996023,0.5594572353757628,252.0,119.71,10.0,0.7482253424139677,88.0,117.0,146.0
lat_301_c_13,2,1394,232,17.186959427966244,41.43669871020132,0.7087346347046068,164.53300858899107,0.7091940025387546,0.32816773934599625,3.0472221370476413,0.25806451612903225,40.066389797577784,28.265843212899856,0.839925694021045,1.3023970957003634,0.24256477077734537,718896.0,16876168.0,0.001280229231957127,4.8934195102746854e-05,3230.9613259668504,43.071823204419886,0.027904187364876903,0.0055248618784530384,0.07432941462471664,0.5939304544449369,254.0,146.7844827586207,3.0,0.9127998538370493,99.0,133.5,205.75
lat_301_c_14,2,1104,209,16.312788383647018,49.040799340956916,0.8724339787557932,139.01828996322962,0.6651592821207158,0.36864311997497257,2.7126506526634504,0.26256281407035176,45.48859535278733,22.231731480701484,0.6990936879560047,1.1134192960205065,0.12397501419734824,399684.0,11104312.0,0.004440459088899313,0.00027755800374413696,1595.1643835616437,29.863013698630134,0.03794351116874854,0.007036967536123101,0.08388663502682117,0.4800236950525035,247.0,82.64593301435407,2.0,0.9908614670472283,60.0,77.0,96.0
lat_301_c_15,2,1833,216,16.583719174624104,47.16990566028302,0.850675463989392,156.29036790187178,0.7235665180642212,0.3333493357754858,2.9998559849344058,0.21428571428571427,54.22185514287485,28.503952983785588,0.7250456650225329,1.3547509216615006,0.35297441439128197,376973.0,8469165.0,0.007297335121394688,0.0007493827283745759,2212.363636363636,33.909090909090914,0.05566538136749374,0.006493506493506494,0.08058229640253803,0.55572929131914,251.0,88.04629629629629,3.0,0.7383608187937489,54.0,81.0,114.25
lat_301_c_16,2,2862,336,20.683531783305643,64.07027391856539,0.9210178328274387,237.9177848998413,0.708088645535242,0.2731163268356713,3.661443501331505,0.225201072386059,63.0335269940872,24.552845424713045,0.6241157042727563,1.2272123052606345,0.1877389119452636,1002769.0,33117609.0,0.0018372728026657993,0.00011139400914267738,2745.5443037974683,39.70464135021096,0.03492410574735805,0.004290622941480176,0.06550284681966255,0.6464741969492491,253.0,116.4047619047619,3.0,1.039507789851506,71.0,100.0,151.5
lat_301_c_17,2,2760,363,21.498510523728477,69.1158447825099,0.8423859929903984,274.3675323681472,0.7558334225017829,0.24616455941967452,4.062323196960072,0.2129032258064516,64.10002601311419,34.541876132863855,0.7340807884552301,1.3391356142714004,0.13270300735496446,1008746.0,39445536.0,0.002680160228076032,0.00018407625493794137,2051.826612903226,34.141129032258064,0.03573640442521708,0.00409729448491155,0.0640101123644659,0.4844806181903842,235.0,88.78787878787878,2.0,1.0472696741985088,60.0,83.0,111.5
lat_301_c_18,2,972,146,13.63425735166143,39.05124837953327,0.9409623439769971,91.31980515339464,0.6254781174890044,0.46904702283565847,2.1319824054194525,0.31196581196581197,41.68582435586742,14.11112056175221,0.5818171974442137,1.00225799394317,0.18287224520440917,349192.0,9418818.0,0.016291105541038995,0.002316175899851629,1208.7192982456138,26.999999999999993,0.048166821092381136,0.008925823330255461,0.09447657556376322,0.7943496570802503,251.0,90.91780821917808,1.0,0.6498567840540659,54.25,77.0,115.75
lat_301_c_2,2,3400,637,27.384997568906428,70.60453243241541,0.7709567813493683,401.80003589374985,0.6821732358128181,0.21411771900339205,4.670328101076763,0.22386925123527177,65.5077928411468,41.7210920286621,0.7980522937755746,1.3601506992158965,0.15911511633779593,3163743.0,136361683.0,0.0007773849211803773,2.281477394951596e-05,3345.7886363636358,43.48409090909092,0.025542149600446498,0.002293388429752066,0.04788933524023972,0.5664140380369814,254.0,144.49575551782684,1.0,1.332486813794255,101.0,145.0,197.0
lat_301_c_3,2,1440,233,17.22396045987371,52.0,0.9528070826002437,153.49747468305833,0.6587874449916666,0.3525182922923524,2.836732225999423,0.3357348703170029,53.111196075484195,16.12330856561091,0.55097772538839,1.000284470070388,0.10981735810532112,757162.0,26205622.0,0.003203222012040545,0.0002360491525456175,2690.028409090909,38.97159090909091,0.020759329908706735,0.005810950413223141,0.07622959014203828,0.5955891748820786,250.0,107.06437768240343,9.0,0.8835280462458571,66.0,93.0,132.0
lat_301_c_4,2,1140,215,16.545286401814263,42.43819034784589,0.8854299726574703,148.08326112068522,0.6887593540496987,0.3510089514379157,2.8489301936702143,0.30935251798561153,43.292319107055235,20.121092737809033,0.6817424796055501,1.440547722315907,0.24350743469381886,583617.0,15180181.0,0.0009907767610300739,2.5879263854061322e-05,3017.8947368421054,42.71052631578947,0.01785593320368032,0.006578947368421051,0.08111071056538126,0.4556129404632112,254.0,122.2139534883721,1.0,1.135973644907261,83.5,119.0,158.0
lat_301_c_5,2,2288,381,20.806283791440396,52.61178575186362,0.6488191387331526,215.7462120245875,0.6345476824252574,0.30297110523657417,3.3006447899351743,0.24926686217008798,44.285292501813515,33.698568083320545,0.872320271269111,1.3472904998923694,0.2501202114257007,1597256.0,66104628.0,0.002754654148950704,0.0001506820200564008,2877.9351145038167,40.29389312977099,0.022703767633473707,0.003816793893129771,0.06178020632152155,0.5255205915327017,253.0,120.53235294117647,1.0,1.0352998713343773,82.75,114.0,152.25
lat_301_c_6,2,2538,330,20.12188299403865,56.61271941887264,0.7276332963682969,235.57463914933368,0.7408007520419299,0.26834280641895664,3.7265765136208873,0.21185876082611593,51.35089030725874,35.22498102229737,0.8282308346779551,1.339856242968925,0.19787592340106766,1138407.0,42275289.0,0.0024910043488144185,0.000125102396189438,2396.1078838174276,37.06224066390042,0.03441192886869604,0.004149377593360996,0.06441566264008308,0.6679572008692743,252.0,106.48113207547169,1.0,1.1297555611977776,64.0,96.0,136.0
lat_301_c_7,2,1247,196,15.797308339337176,47.01063709417264,0.9261117523843648,144.66904755831214,0.7381073855015926,0.3430499382070686,2.915027489077667,0.3228995057660626,48.05550502837671,18.12890485256096,0.6142062224998367,1.223624378884059,0.21932438175117072,683345.0,24052339.0,0.004155900429275227,0.0002499729863261359,2779.642857142857,40.92857142857143,0.016227595807363878,0.007142857142857143,0.08451542547285165,0.6415836247304288,254.0,105.91326530612245,6.0,0.8415718076667171,63.75,92.5,136.0
lat_301_c_8,2,3564,418,22.65205369339104,69.57010852370435,0.9174499729619725,287.8883476483185,0.7143631455293262,0.24719140615865245,4.045448082277503,0.22781232334652346,68.54909417262517,27.272336771257457,0.6307544387550567,1.2011648935255923,0.15138512165071308,1360774.0,46878090.0,0.001270480360170743,2.4782440174616653e-05,3462.720136518771,44.160409556313994,0.036329254525882634,0.0034595627205908056,0.0588180475754747,0.45560108811446554,253.0,116.70223325062035,1.0,1.017031707339937,81.5,110.0,146.5
lat_301_c_9,2,3120,731,25.928179257714298,70.178344238091,0.6114691409925571,369.9594154601839,0.7006807110988331,0.22017490047029498,4.541843769948317,0.20722135007849293,57.719389894960436,45.67152231667857,0.8895326183820833,1.556534531681475,0.22236614861966714,1692159.0,47113011.0,0.00032375784282846564,5.366424337672672e-06,1772.1854636591477,31.754385964912277,0.0467457036105139,0.002556516604795196,0.050562007523388505,0.7950980766439677,254.0,136.68371212121212,8.0,1.6451470024473576,87.75,126.0,185.0
